chunk_tokens,dataset,max_prompt_tokens,prompt_tokens,reason,sample_id,sample_idx,truncated_prompt_tokens
4010,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",72,72,
,musique,4096,6281,prompt truncated to max_prompt_tokens,73,73,4096
4010,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",73,73,
,musique,4096,7578,prompt truncated to max_prompt_tokens,74,74,4096
3999,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",74,74,
,musique,4096,7441,prompt truncated to max_prompt_tokens,75,75,4096
4001,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",75,75,
,musique,4096,7777,prompt truncated to max_prompt_tokens,76,76,4096
4002,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",76,76,
,musique,4096,6217,prompt truncated to max_prompt_tokens,77,77,4096
4002,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",77,77,
,musique,4096,6549,prompt truncated to max_prompt_tokens,78,78,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",78,78,
,musique,4096,6111,prompt truncated to max_prompt_tokens,79,79,4096
4009,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",79,79,
,musique,4096,6430,prompt truncated to max_prompt_tokens,80,80,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",80,80,
,musique,4096,6173,prompt truncated to max_prompt_tokens,81,81,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",81,81,
,musique,4096,6905,prompt truncated to max_prompt_tokens,82,82,4096
3999,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",82,82,
,musique,4096,6500,prompt truncated to max_prompt_tokens,83,83,4096
3993,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",83,83,
,musique,4096,6511,prompt truncated to max_prompt_tokens,84,84,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",84,84,
,musique,4096,6230,prompt truncated to max_prompt_tokens,85,85,4096
3991,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",85,85,
,musique,4096,6362,prompt truncated to max_prompt_tokens,86,86,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",86,86,
,musique,4096,6236,prompt truncated to max_prompt_tokens,87,87,4096
3998,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",87,87,
,musique,4096,6318,prompt truncated to max_prompt_tokens,88,88,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",88,88,
,musique,4096,7282,prompt truncated to max_prompt_tokens,89,89,4096
4001,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",89,89,
,musique,4096,7022,prompt truncated to max_prompt_tokens,90,90,4096
4002,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",90,90,
,musique,4096,7333,prompt truncated to max_prompt_tokens,91,91,4096
4001,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",91,91,
,musique,4096,6127,prompt truncated to max_prompt_tokens,92,92,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",92,92,
,musique,4096,6215,prompt truncated to max_prompt_tokens,93,93,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",93,93,
,musique,4096,6280,prompt truncated to max_prompt_tokens,94,94,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",94,94,
,musique,4096,6054,prompt truncated to max_prompt_tokens,95,95,4096
4006,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",95,95,
,musique,4096,6695,prompt truncated to max_prompt_tokens,96,96,4096
4000,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",96,96,
,musique,4096,6835,prompt truncated to max_prompt_tokens,97,97,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",97,97,
,musique,4096,6222,prompt truncated to max_prompt_tokens,98,98,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",98,98,
,musique,4096,6281,prompt truncated to max_prompt_tokens,99,99,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",99,99,
,musique,4096,6260,prompt truncated to max_prompt_tokens,100,100,4096
4011,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",100,100,
,wikimqa,4096,7328,prompt truncated to max_prompt_tokens,1,1,4096
4015,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",1,1,
,wikimqa,4096,6413,prompt truncated to max_prompt_tokens,2,2,4096
4015,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2,2,
,wikimqa,4096,6905,prompt truncated to max_prompt_tokens,3,3,4096
4018,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",3,3,
,wikimqa,4096,6323,prompt truncated to max_prompt_tokens,4,4,4096
4007,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",4,4,
,wikimqa,4096,7189,prompt truncated to max_prompt_tokens,5,5,4096
4004,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",5,5,
,wikimqa,4096,6687,prompt truncated to max_prompt_tokens,6,6,4096
4014,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",6,6,
,wikimqa,4096,6803,prompt truncated to max_prompt_tokens,7,7,4096
4005,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",7,7,
,wikimqa,4096,5999,prompt truncated to max_prompt_tokens,8,8,4096
4016,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",8,8,
,wikimqa,4096,6444,prompt truncated to max_prompt_tokens,9,9,4096
4020,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",9,9,
,wikimqa,4096,6436,prompt truncated to max_prompt_tokens,10,10,4096
4018,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",10,10,
,wikimqa,4096,6544,prompt truncated to max_prompt_tokens,11,11,4096
4007,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",11,11,
,wikimqa,4096,6552,prompt truncated to max_prompt_tokens,12,12,4096
4013,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",12,12,
,wikimqa,4096,6304,prompt truncated to max_prompt_tokens,13,13,4096
4014,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",13,13,
,wikimqa,4096,6777,prompt truncated to max_prompt_tokens,14,14,4096
4017,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",14,14,
,wikimqa,4096,6302,prompt truncated to max_prompt_tokens,15,15,4096
4017,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",15,15,
,wikimqa,4096,6698,prompt truncated to max_prompt_tokens,16,16,4096
4018,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",16,16,
,wikimqa,4096,6461,prompt truncated to max_prompt_tokens,17,17,4096
4010,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",17,17,
,wikimqa,4096,6382,prompt truncated to max_prompt_tokens,18,18,4096
4000,wikimqa,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",18,18,
,wikimqa,4096,5850,prompt truncated to max_prompt_tokens,19,19,4096
