dataset,reason,sample_id,sample_idx
musique,"CUDA out of memory. Tried to allocate 4.45 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.87 GiB is free. Including non-PyTorch memory, this process has 21.68 GiB memory in use. Of the allocated memory 18.28 GiB is allocated by PyTorch, and 3.09 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",79,79
musique,"CUDA out of memory. Tried to allocate 4.93 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 22.00 GiB memory in use. Of the allocated memory 19.02 GiB is allocated by PyTorch, and 2.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",80,80
musique,"CUDA out of memory. Tried to allocate 4.54 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 22.00 GiB memory in use. Of the allocated memory 18.42 GiB is allocated by PyTorch, and 3.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",81,81
musique,"CUDA out of memory. Tried to allocate 5.69 GiB. GPU 0 has a total capacity of 23.56 GiB of which 909.25 MiB is free. Including non-PyTorch memory, this process has 22.66 GiB memory in use. Of the allocated memory 20.18 GiB is allocated by PyTorch, and 2.17 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",82,82
musique,"CUDA out of memory. Tried to allocate 5.04 GiB. GPU 0 has a total capacity of 23.56 GiB of which 799.25 MiB is free. Including non-PyTorch memory, this process has 22.77 GiB memory in use. Of the allocated memory 19.18 GiB is allocated by PyTorch, and 3.28 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",83,83
musique,"CUDA out of memory. Tried to allocate 5.05 GiB. GPU 0 has a total capacity of 23.56 GiB of which 781.25 MiB is free. Including non-PyTorch memory, this process has 22.79 GiB memory in use. Of the allocated memory 19.21 GiB is allocated by PyTorch, and 3.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",84,84
musique,"CUDA out of memory. Tried to allocate 4.63 GiB. GPU 0 has a total capacity of 23.56 GiB of which 781.25 MiB is free. Including non-PyTorch memory, this process has 22.79 GiB memory in use. Of the allocated memory 18.55 GiB is allocated by PyTorch, and 3.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",85,85
musique,"CUDA out of memory. Tried to allocate 4.83 GiB. GPU 0 has a total capacity of 23.56 GiB of which 781.25 MiB is free. Including non-PyTorch memory, this process has 22.79 GiB memory in use. Of the allocated memory 18.86 GiB is allocated by PyTorch, and 3.62 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",86,86
musique,"CUDA out of memory. Tried to allocate 4.64 GiB. GPU 0 has a total capacity of 23.56 GiB of which 781.25 MiB is free. Including non-PyTorch memory, this process has 22.79 GiB memory in use. Of the allocated memory 18.57 GiB is allocated by PyTorch, and 3.91 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",87,87
musique,"CUDA out of memory. Tried to allocate 4.76 GiB. GPU 0 has a total capacity of 23.56 GiB of which 781.25 MiB is free. Including non-PyTorch memory, this process has 22.79 GiB memory in use. Of the allocated memory 18.75 GiB is allocated by PyTorch, and 3.72 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",88,88
musique,"CUDA out of memory. Tried to allocate 6.32 GiB. GPU 0 has a total capacity of 23.56 GiB of which 129.25 MiB is free. Including non-PyTorch memory, this process has 23.42 GiB memory in use. Of the allocated memory 21.16 GiB is allocated by PyTorch, and 1.95 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",89,89
musique,"CUDA out of memory. Tried to allocate 5.88 GiB. GPU 0 has a total capacity of 23.56 GiB of which 129.25 MiB is free. Including non-PyTorch memory, this process has 23.42 GiB memory in use. Of the allocated memory 14.60 GiB is allocated by PyTorch, and 8.51 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",90,90
musique,"CUDA out of memory. Tried to allocate 6.41 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 21.30 GiB is allocated by PyTorch, and 1.91 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",91,91
musique,"CUDA out of memory. Tried to allocate 4.48 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.32 GiB is allocated by PyTorch, and 4.89 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",92,92
musique,"CUDA out of memory. Tried to allocate 4.61 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.52 GiB is allocated by PyTorch, and 4.69 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",93,93
musique,"CUDA out of memory. Tried to allocate 4.70 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.67 GiB is allocated by PyTorch, and 4.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",94,94
musique,"CUDA out of memory. Tried to allocate 4.37 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.15 GiB is allocated by PyTorch, and 5.05 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",95,95
musique,answer evidence not found in chunk tokens,96,96
musique,"CUDA out of memory. Tried to allocate 5.57 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.43 GiB is allocated by PyTorch, and 8.77 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",97,97
musique,"CUDA out of memory. Tried to allocate 4.62 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.53 GiB is allocated by PyTorch, and 4.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",98,98
musique,"CUDA out of memory. Tried to allocate 4.70 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.67 GiB is allocated by PyTorch, and 4.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",99,99
musique,"CUDA out of memory. Tried to allocate 4.67 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.62 GiB is allocated by PyTorch, and 4.58 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",100,100
wikimqa,answer evidence not found in chunk tokens,1,1
wikimqa,"CUDA out of memory. Tried to allocate 4.90 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.98 GiB is allocated by PyTorch, and 4.23 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2,2
wikimqa,answer evidence not found in chunk tokens,3,3
wikimqa,"CUDA out of memory. Tried to allocate 4.77 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.77 GiB is allocated by PyTorch, and 4.44 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",4,4
wikimqa,"CUDA out of memory. Tried to allocate 6.16 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.75 GiB is allocated by PyTorch, and 8.45 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",5,5
wikimqa,"CUDA out of memory. Tried to allocate 5.33 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.31 GiB is allocated by PyTorch, and 8.90 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",6,6
wikimqa,"CUDA out of memory. Tried to allocate 5.52 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.41 GiB is allocated by PyTorch, and 8.80 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",7,7
wikimqa,"CUDA out of memory. Tried to allocate 4.29 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.03 GiB is allocated by PyTorch, and 5.17 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",8,8
wikimqa,answer evidence not found in chunk tokens,9,9
wikimqa,"CUDA out of memory. Tried to allocate 4.94 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 19.03 GiB is allocated by PyTorch, and 4.17 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",10,10
wikimqa,answer evidence not found in chunk tokens,11,11
wikimqa,answer evidence not found in chunk tokens,12,12
wikimqa,"CUDA out of memory. Tried to allocate 4.74 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.72 GiB is allocated by PyTorch, and 4.48 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",13,13
wikimqa,"CUDA out of memory. Tried to allocate 5.48 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.38 GiB is allocated by PyTorch, and 8.82 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",14,14
wikimqa,"CUDA out of memory. Tried to allocate 4.74 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.72 GiB is allocated by PyTorch, and 4.49 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",15,15
wikimqa,answer evidence not found in chunk tokens,16,16
wikimqa,"CUDA out of memory. Tried to allocate 4.98 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 19.09 GiB is allocated by PyTorch, and 4.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",17,17
wikimqa,"CUDA out of memory. Tried to allocate 4.86 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.90 GiB is allocated by PyTorch, and 4.30 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",18,18
wikimqa,"CUDA out of memory. Tried to allocate 4.08 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 17.71 GiB is allocated by PyTorch, and 5.50 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",19,19
wikimqa,answer evidence not found in chunk tokens,20,20
wikimqa,answer evidence not found in chunk tokens,21,21
wikimqa,answer evidence not found in chunk tokens,22,22
wikimqa,"CUDA out of memory. Tried to allocate 5.11 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.18 GiB is allocated by PyTorch, and 9.02 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",23,23
wikimqa,"CUDA out of memory. Tried to allocate 5.62 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.46 GiB is allocated by PyTorch, and 8.74 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",24,24
wikimqa,"CUDA out of memory. Tried to allocate 5.16 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 14.21 GiB is allocated by PyTorch, and 8.99 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",25,25
wikimqa,answer evidence not found in chunk tokens,26,26
wikimqa,"CUDA out of memory. Tried to allocate 4.90 GiB. GPU 0 has a total capacity of 23.56 GiB of which 37.25 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 18.97 GiB is allocated by PyTorch, and 4.23 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",27,27
wikimqa,answer evidence not found in chunk tokens,28,28
wikimqa,answer evidence not found in chunk tokens,29,29
wikimqa,answer evidence not found in chunk tokens,30,30
wikimqa,"CUDA out of memory. Tried to allocate 6.50 GiB. GPU 0 has a total capacity of 23.56 GiB of which 6.45 GiB is free. Including non-PyTorch memory, this process has 17.10 GiB memory in use. Of the allocated memory 14.93 GiB is allocated by PyTorch, and 1.86 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",31,31
wikimqa,"CUDA out of memory. Tried to allocate 4.94 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.51 GiB is free. Including non-PyTorch memory, this process has 22.04 GiB memory in use. Of the allocated memory 19.04 GiB is allocated by PyTorch, and 2.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",32,32
wikimqa,answer evidence not found in chunk tokens,33,33
wikimqa,answer evidence not found in chunk tokens,34,34
wikimqa,"CUDA out of memory. Tried to allocate 5.43 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 22.42 GiB memory in use. Of the allocated memory 19.78 GiB is allocated by PyTorch, and 2.33 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",35,35
wikimqa,"CUDA out of memory. Tried to allocate 5.10 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 22.42 GiB memory in use. Of the allocated memory 14.18 GiB is allocated by PyTorch, and 7.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",36,36
wikimqa,answer evidence not found in chunk tokens,37,37
wikimqa,"CUDA out of memory. Tried to allocate 4.62 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 22.42 GiB memory in use. Of the allocated memory 18.54 GiB is allocated by PyTorch, and 3.56 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",38,38
wikimqa,answer evidence not found in chunk tokens,39,39
wikimqa,answer evidence not found in chunk tokens,40,40
wikimqa,"CUDA out of memory. Tried to allocate 4.65 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 22.42 GiB memory in use. Of the allocated memory 18.59 GiB is allocated by PyTorch, and 3.52 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",41,41
wikimqa,"CUDA out of memory. Tried to allocate 4.85 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 22.42 GiB memory in use. Of the allocated memory 18.89 GiB is allocated by PyTorch, and 3.21 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",42,42
wikimqa,"CUDA out of memory. Tried to allocate 4.86 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 22.42 GiB memory in use. Of the allocated memory 18.91 GiB is allocated by PyTorch, and 3.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",43,43
wikimqa,answer evidence not found in chunk tokens,44,44
wikimqa,"CUDA out of memory. Tried to allocate 5.01 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.07 GiB is free. Including non-PyTorch memory, this process has 22.48 GiB memory in use. Of the allocated memory 19.14 GiB is allocated by PyTorch, and 3.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",45,45
wikimqa,answer evidence not found in chunk tokens,46,46
wikimqa,answer evidence not found in chunk tokens,47,47
wikimqa,answer evidence not found in chunk tokens,48,48
wikimqa,"CUDA out of memory. Tried to allocate 4.95 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.07 GiB is free. Including non-PyTorch memory, this process has 22.48 GiB memory in use. Of the allocated memory 19.05 GiB is allocated by PyTorch, and 3.12 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",49,49
wikimqa,answer evidence not found in chunk tokens,50,50
wikimqa,answer evidence not found in chunk tokens,51,51
wikimqa,"CUDA out of memory. Tried to allocate 6.60 GiB. GPU 0 has a total capacity of 23.56 GiB of which 6.50 GiB is free. Including non-PyTorch memory, this process has 17.05 GiB memory in use. Of the allocated memory 14.99 GiB is allocated by PyTorch, and 1.76 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",52,52
wikimqa,"CUDA out of memory. Tried to allocate 5.29 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.35 GiB memory in use. Of the allocated memory 19.57 GiB is allocated by PyTorch, and 2.46 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",53,53
wikimqa,"CUDA out of memory. Tried to allocate 4.70 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.35 GiB memory in use. Of the allocated memory 18.66 GiB is allocated by PyTorch, and 3.38 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",54,54
wikimqa,answer evidence not found in chunk tokens,55,55
wikimqa,"CUDA out of memory. Tried to allocate 4.71 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.35 GiB memory in use. Of the allocated memory 18.68 GiB is allocated by PyTorch, and 3.36 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",56,56
wikimqa,"CUDA out of memory. Tried to allocate 4.89 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 22.35 GiB memory in use. Of the allocated memory 18.96 GiB is allocated by PyTorch, and 3.08 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",57,57
wikimqa,answer evidence not found in chunk tokens,58,58
